player_id,rank,name,out,in,total,score
master,PAR,PAR,36,36,72,0
matsuoka-hana,1,松岡 華,32,37,69,-3
masada-yumeno,1,政田 夢乃,34,35,69,-3
kawanaka-shunka,3,川中 俊果,36,34,70,-2
ueda-rina,3,植田 梨奈,35,35,70,-2
sekino-manami,5,関野 愛美,36,35,71,-1
yokoyama-momo,5,横山 もも,36,35,71,-1
sasahara-yumi,5,笹原 優美,34,37,71,-1
kawamura-kurumi,8,河村 来未,37,35,72,0
maeda-erina,8,前田 衣里奈,36,36,72,0
murakami-miki,8,村上 瑞希,36,36,72,0
wakui-mayu,11,和久井 麻由,38,35,73,1
suzuki-chiharu,11,鈴木 千晴,36,37,73,1
kitahori-asahi,11,北堀 あさひ,35,38,73,1
fujii-miwa,11,藤井 美羽,36,37,73,1
uetake-aimi,11,植竹 愛海,37,36,73,1
rin-yuuka,11,リン 優香,34,39,73,1
yabushita-mai,11,薮下 真衣,35,38,73,1
kamada-hiromi,11,鎌田 ヒロミ,35,38,73,1
